Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
akasha_character_procedures_916f1ad1	aka	Ah, good evening to you. I was merely perusing these tomes.	game/akasha_character_procedures.rpy	489	aka "[what]"
akasha_character_procedures_c0ad67ce	aka	So many secrets here. How tantalizing...	game/akasha_character_procedures.rpy	490	aka "[what]"
akasha_character_procedures_ce5fc0ae	aka	To think that each of these was collected by the Ancient One before Alberius was even born...	game/akasha_character_procedures.rpy	491	aka "[what]"
akasha_character_procedures_bf3aa24d	aka	But I digress. You came here to observe my ability to make facial expressions, have you not?	game/akasha_character_procedures.rpy	492	aka "[what]"
akasha_character_procedures_4baf1ed9	aka	...How do I know this, you ask? Surely you must allow a lady to have some secrets, no?	game/akasha_character_procedures.rpy	493	aka "[what]"
akasha_character_procedures_639b2e40	aka	Rather, let us proceed with all haste so you may resume your business, and I... may resume mine.	game/akasha_character_procedures.rpy	494	aka "[what]"
akasha_character_procedures_5ef1b0da	aka	As you can see, this is my default relaxed expression. Quite enjoyable.	game/akasha_character_procedures.rpy	497	aka "[what]"
akasha_character_procedures_d3be0acb	aka	This is a second relaxed (relaxed2) expression. My eyes are a little wider in this one, no?	game/akasha_character_procedures.rpy	500	aka "[what]"
akasha_character_procedures_a70e183c	aka	This is a third relaxed (relaxed3) expression. Here my eyes are squinting more.	game/akasha_character_procedures.rpy	503	aka "[what]"
akasha_character_procedures_1ec19844	aka	This is a sad expression. I might wear it to express pity.	game/akasha_character_procedures.rpy	506	aka "[what]"
akasha_character_procedures_ffba5fd5	aka	That's just an act, you say? It saddens me (sad2) for you to have to ask. How tedious.	game/akasha_character_procedures.rpy	509	aka "[what]"
akasha_character_procedures_40ad24b6	aka	Here is my surprised expression. In addition to having wide eyes, my eyebrows are also higher.	game/akasha_character_procedures.rpy	512	aka "[what]"
akasha_character_procedures_ef4263f3	aka	But of course, I also have another surprised (surprised2) expression. Here my irises are more contracted.	game/akasha_character_procedures.rpy	515	aka "[what]"
akasha_character_procedures_257c57bc	aka	In this expression, I am blushing. It might be more accurate to say that it's flushed, but there are conventions to obey, of course.	game/akasha_character_procedures.rpy	518	aka "[what]"
akasha_character_procedures_50ed1ce0	aka	This is an annoyed expression, of course...	game/akasha_character_procedures.rpy	521	aka "[what]"
akasha_character_procedures_c01d9293	aka	...and this is a second one (annoyed2). And that about wraps things up.	game/akasha_character_procedures.rpy	524	aka "[what]"
akasha_character_procedures_2dfd8f60	aka	Worry not, I know that you also want to see me change my mouth.	game/akasha_character_procedures.rpy	527	aka "[what]"
akasha_character_procedures_92728c96	aka	This is my standard grin (grin1). I find it a pleasant demeanor.	game/akasha_character_procedures.rpy	530	aka "[what]"
akasha_character_procedures_cdb50724	aka	This is a second grin (grin2). A bit wide and thin, don't you agree?	game/akasha_character_procedures.rpy	533	aka "[what]"
akasha_character_procedures_0c78e2aa	aka	And now for a third one (grin3). I like the subtlety of the upturned corners here.	game/akasha_character_procedures.rpy	536	aka "[what]"
akasha_character_procedures_033f0f5c	aka	But I also have one last one (grin4) in my repertoire! This one is similar to the third but the corners of my mouth are wider.	game/akasha_character_procedures.rpy	539	aka "[what]"
akasha_character_procedures_dde177d9	aka	Of course, I can smile without my teeth. Do you find this one (smile1) pleasing to you?	game/akasha_character_procedures.rpy	542	aka "[what]"
akasha_character_procedures_466a9edb	aka	This one (smile2) is a bit wider and the corners of my mouth are upturned.	game/akasha_character_procedures.rpy	545	aka "[what]"
akasha_character_procedures_91f41f70	aka	This one (smile3) is quite wide!! I would use it to exclaim something in excitement!!!	game/akasha_character_procedures.rpy	548	aka "[what]"
akasha_character_procedures_61f1abe3	aka	You find this unnerving? How unfortunate--it brings a grimace (grimace1) to my face.	game/akasha_character_procedures.rpy	551	aka "[what]"
akasha_character_procedures_37784563	aka	I feel rather nervous now (grimace2), and there's some sweat on my face. How unladylike.	game/akasha_character_procedures.rpy	554	aka "[what]"
akasha_character_procedures_3f01b165	aka	This whole experimence has been more unpleasant than I anticipated. Allow this frown (frown1) to express my innermost feelings.	game/akasha_character_procedures.rpy	557	aka "[what]"
akasha_character_procedures_1aeeb443	aka	Are we done now? I'd very much like to get back to my exploration now...	game/akasha_character_procedures.rpy	560	aka "[what]"
alexG_character_procedures_ffed2392	gale	It's certainly peculiar being here.	game/alexG_character_procedures.rpy	500	gale "[what]"
alexG_character_procedures_db11f811	gale	There's still a lot about others I have yet to learn.	game/alexG_character_procedures.rpy	501	gale "[what]"
alexG_character_procedures_759ff684	gale	Oh, Elisanne! I’m surprised to see you at this hour!\n('surprised' face and 'frown2' mouth)	game/alexG_character_procedures.rpy	504	gale "[what]"
alexG_character_procedures_fb5c7dcb	gale	Oh, me? I’m doing well. The orphanage matron asked me to watch over the children this holiday.\n('sad' face and 'smile1' mouth)	game/alexG_character_procedures.rpy	507	gale "[what]"
alexG_character_procedures_277e624c	gale	I just assumed that you would be helping His Majesty at the moment.\n('askance' face and 'frown3' mouth)	game/alexG_character_procedures.rpy	510	gale "[what]"
alexG_character_procedures_cd7c1036	gale	But while you’re here, you wouldn’t mind assisting me, would you?\n('relaxed' face and 'frown1' mouth)	game/alexG_character_procedures.rpy	513	gale "[what]"
alexG_character_procedures_1c7adcf6	gale	I’m not too familiar with events like this and could use all the help I can.\n('squint' face and 'pout1' mouth)	game/alexG_character_procedures.rpy	516	gale "[what]"
alexG_character_procedures_1964e75a	gale	You will? Thank you, Elisanne! I can’t express how much it means to have you by my side today!\n('smile2' mouth)	game/alexG_character_procedures.rpy	519	gale "[what]"
alexG_character_procedures_17a24791	gale	I believe I see someone over there right now! I believe he’s the festival mascot.	game/alexG_character_procedures.rpy	520	gale "[what]"
alexG_character_procedures_ae16024f	gale	Wait, what are the children doing to them!\n('shock' face and 'shout1' mouth)	game/alexG_character_procedures.rpy	523	gale "[what]"
alexG_character_procedures_522c3e7d	gale	Hey! No attacking the jackrabbit! Everyone, wait your turn to play with them!\n('angry' face and 'grimace1' mouth)	game/alexG_character_procedures.rpy	526	gale "[what]"
alexG_character_procedures_705f7bbb	gale	See? Now that’s safer.\n('focused' face and 'mutter1' mouth)	game/alexG_character_procedures.rpy	529	gale "[what]"
alexG_character_procedures_bcf7318d	gale	Oh, Elisanne? You want to play with the rabbit man?	game/alexG_character_procedures.rpy	532	gale "[what]"
alexG_character_procedures_f0f99176	gale	You know, I actually remember dressing up as one some time ago!	game/alexG_character_procedures.rpy	535	gale "[what]"
alexG_character_procedures_20fbf815	gale	Though that was back when you and I were still enemies and…\n('frown4' mouth)	game/alexG_character_procedures.rpy	538	gale "[what]"
alexG_character_procedures_4712097e	gale	At least we can be together again, fighting together.\n('duchenne1' mouth)	game/alexG_character_procedures.rpy	541	gale "[what]"
alexG_character_procedures_11157729	gale	Oh, one of the children is here!	game/alexG_character_procedures.rpy	544	gale "[what]"
alexG_character_procedures_7cb3c893	gale	What did you need help with?	game/alexG_character_procedures.rpy	547	gale "[what]"
alexG_character_procedures_aa550e7c	gale	…!\nHuh?! No, Ms. Elisanne and I are simply together to help out!\n('blush' face)	game/alexG_character_procedures.rpy	550	gale "[what]"
alexG_character_procedures_10768187	gale	…\n('closed_blush' face)	game/alexG_character_procedures.rpy	553	gale "[what]"
alexG_character_procedures_35734dbc	gale	…?\n('blush2' face and 'closed_mutter1' mouth)	game/alexG_character_procedures.rpy	556	gale "[what]"
alexG_character_procedures_f720e30d	gale	Heh, you know how children can be…\n('closed_blush2' face)	game/alexG_character_procedures.rpy	559	gale "[what]"
alexG_character_procedures_3467e72d	gale	Come on now! We don't want them getting to crazy again!	game/alexG_character_procedures.rpy	562	gale "[what]"
alexS_character_procedures_44015d21	sale	Ah! It’s nice to be out on the beach again!	game/alexS_character_procedures.rpy	579	sale "[what]"
alexS_character_procedures_a7ba11f4	sale	(wistful smile3) It’s funny. I remember that I used to not be all about this.	game/alexS_character_procedures.rpy	582	sale "[what]"
alexS_character_procedures_9418f5fa	sale	(relaxed2 smile2) But hey, that’s what I have to thank you for, Elisanne.	game/alexS_character_procedures.rpy	585	sale "[what]"
alexS_character_procedures_873431b5	sale	(happy) I don’t feel I say it enough, but I’m just so grateful to be with you.	game/alexS_character_procedures.rpy	588	sale "[what]"
alexS_character_procedures_80cd07d3	sale	(angry grimace1) You helped me get out of something so abhorrent, I feel angry just remembering it…	game/alexS_character_procedures.rpy	591	sale "[what]"
alexS_character_procedures_82091a64	sale	(closed_happy duchenne1) I can only hope to always be yours.	game/alexS_character_procedures.rpy	594	sale "[what]"
alexS_character_procedures_6fa08ef1	sale	(squint frown4) Sorry, just feeling a bit introspective is all.	game/alexS_character_procedures.rpy	597	sale "[what]"
alexS_character_procedures_b78435cf	sale	(smile1) Let’s just have some fun while we’re here!	game/alexS_character_procedures.rpy	600	sale "[what]"
alexS_character_procedures_dd2848a3	sale	(askance pout1) You know, just… preferably without as many townsfolk vying for our attention.	game/alexS_character_procedures.rpy	603	sale "[what]"
alexS_character_procedures_17964fb6	sale	(relaxed2) What say you? Should we do something out in the sea first?	game/alexS_character_procedures.rpy	606	sale "[what]"
alexS_character_procedures_0b159694	sale	(closed_relaxed) I mean, I would love to just go out there with you, hand in hand~.	game/alexS_character_procedures.rpy	609	sale "[what]"
alexS_character_procedures_8d0586f8	sale	(shock shout1) Oh, sorry! I didn’t mean to surprise you like that!	game/alexS_character_procedures.rpy	612	sale "[what]"
alexS_character_procedures_5abd792c	sale	(frown2) *sigh*\nIt’s just… when I’m around you…	game/alexS_character_procedures.rpy	615	sale "[what]"
